date,calendar,heuristic,ml_model
2024-09-22,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-23,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-24,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-25,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-26,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-27,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-28,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-29,OCCUPIED,OCCUPIED,OCCUPIED
2024-09-30,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-03,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-04,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-05,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-09,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-10,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-12,OCCUPIED,OCCUPIED,OCCUPIED
2024-10-13,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-14,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-15,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-16,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-17,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-18,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-10-19,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
